label,context
phongto,Tôi cần bạn tăng size hiển thị
phongto,Hãy giúp tôi mở rộng toàn màn hình
phongto,Giúp tôi mở rộng toàn màn hình ngay nhé
phongto,Tôi yêu cầu bạn làm to khung cửa sổ
phongto,Hãy thực hiện thao tác sau: mở rộng kích thước cửa sổ
phongto,Hãy giúp tôi phóng đại nội dung
phongto,Tôi muốn bạn đẩy kích thước lớn lên
phongto,Tôi cần bạn zoom mạnh lên
phongto,Giúp tôi zoom vào để thấy rõ hơn ngay nhé
phongto,mở rộng kích thước cửa sổ
phongto,Làm ơn zoom mạnh lên
phongto,zoom mạnh lên
phongto,Hãy giúp tôi mở rộng toàn màn hình
phongto,Tôi cần bạn phóng đại nội dung
phongto,Tôi yêu cầu bạn đẩy kích thước lớn lên
phongto,Hãy thực hiện thao tác sau: phóng đại nội dung
phongto,cho cửa sổ lớn hết mức
phongto,đẩy kích thước lớn lên
phongto,Tôi muốn bạn cho khung hình lớn hơn
phongto,Tôi cần bạn lớn hơn nữa đi
phongto,Làm ơn zoom in vào khu vực đó
phongto,Tôi muốn bạn phóng to màn hình này lên
phongto,Làm ơn lớn hơn nữa đi
thunho,Bạn có thể zoom ra cho nhỏ lại được không
thunho,Vui lòng giảm hóa cửa sổ xuống
thunho,thu nhỏ để nhìn tổng thể hơn
thunho,Tôi cần bạn thu nhỏ để nhìn tổng thể hơn
thunho,Hãy thực hiện thao tác sau: thu khung hình xuống
thunho,Tôi muốn bạn làm khung hình nhỏ hơn
thunho,làm nhỏ màn hình lại
thunho,Giúp tôi làm bé lại nội dung ngay nhé
thunho,Tôi muốn bạn co nhỏ nội dung hiển thị
thunho,Hãy giúp tôi thu khung hình xuống
thunho,Tôi muốn bạn giảm kích thước khung hình
thunho,thu bé màn hình xuống chút
thunho,Vui lòng zoom ra cho nhỏ lại
thunho,Hãy giúp tôi co lại màn hình
thunho,Làm ơn rút gọn kích thước cửa sổ
thunho,Làm ơn giảm kích thước hiển thị
thunho,Hãy giúp tôi zoom out để màn hình bé lại
thunho,Làm ơn co nhỏ nội dung hiển thị
thunho,Vui lòng zoom ra cho nhỏ lại
thunho,Giúp tôi giảm hóa cửa sổ xuống ngay nhé
thunho,Hãy thực hiện thao tác sau: zoom ra cho nhỏ lại
thunho,co nhỏ nội dung hiển thị
thunho,Bạn có thể thu nhỏ để nhìn tổng thể hơn được không
thunho,làm bé lại nội dung
thunho,Giúp tôi giảm kích thước hiển thị ngay nhé
thunho,Hãy thực hiện thao tác sau: thu nhỏ để nhìn tổng thể hơn
thunho,Tôi cần bạn giảm kích thước hiển thị
thunho,Hãy giúp tôi co nhỏ nội dung hiển thị
thunho,thu bé màn hình xuống chút
thunho,Giúp tôi thu nhỏ cửa sổ xuống ngay nhé
thunho,làm nhỏ màn hình lại
thunho,Tôi yêu cầu bạn thu bé màn hình xuống chút
thunho,thu khung hình xuống
thunho,Giúp tôi zoom ra cho nhỏ lại ngay nhé
thunho,Tôi cần bạn co lại màn hình
thunho,Vui lòng giảm hóa cửa sổ xuống
thunho,Giúp tôi giảm độ lớn hiển thị ngay nhé
thunho,Vui lòng thu bé màn hình xuống chút
thunho,Làm ơn làm bé lại nội dung
thunho,Vui lòng giảm kích thước khung hình
thunho,Bạn có thể thu nhỏ thêm chút nữa được không
thunho,Hãy thực hiện thao tác sau: thu khung hình xuống
thunho,Tôi yêu cầu bạn co nhỏ nội dung hiển thị
thunho,Vui lòng giảm độ lớn hiển thị
thunho,Tôi muốn bạn thu hẹp cửa sổ
thunho,Bạn có thể rút gọn kích thước cửa sổ được không
thunho,Bạn có thể rút gọn kích thước cửa sổ được không
thunho,Hãy thực hiện thao tác sau: thu nhỏ để nhìn tổng thể hơn
thunho,Tôi cần bạn giảm size hiển thị
thunho,Vui lòng làm khung hình nhỏ hơn
thunho,Hãy thực hiện thao tác sau: thu nhỏ cửa sổ xuống
thunho,làm nhỏ màn hình lại
thunho,Giúp tôi zoom ra cho nhỏ lại ngay nhé
thunho,Làm ơn giảm độ lớn hiển thị
thunho,giảm kích thước khung hình
thunho,Bạn có thể co lại màn hình được không
thunho,Hãy giúp tôi zoom out để màn hình bé lại
thunho,Hãy giúp tôi co nhỏ nội dung hiển thị
thunho,Tôi muốn bạn co nhỏ nội dung hiển thị
thunho,Làm ơn làm khung hình nhỏ hơn
thunho,Bạn có thể co nhỏ nội dung hiển thị được không
thunho,Tôi cần bạn thu nhỏ cửa sổ xuống
thunho,Hãy giúp tôi co lại màn hình
thunho,Bạn có thể thu hẹp cửa sổ được không
thunho,Hãy thực hiện thao tác sau: thu bé màn hình xuống chút
thunho,Tôi cần bạn thu hẹp cửa sổ
thunho,Tôi cần bạn giảm độ lớn hiển thị
thunho,Tôi yêu cầu bạn thu nhỏ để nhìn tổng thể hơn
thunho,Tôi cần bạn thu nhỏ cửa sổ xuống
thunho,Vui lòng giảm kích thước hiển thị
thunho,Bạn có thể thu khung hình xuống được không
thunho,Tôi yêu cầu bạn zoom out để màn hình bé lại
thunho,Hãy thực hiện thao tác sau: thu gọn cửa sổ này
thunho,Vui lòng làm bé lại nội dung
thunho,Vui lòng co lại màn hình
thunho,Bạn có thể giảm hóa cửa sổ xuống được không
thunho,Hãy thực hiện thao tác sau: thu khung hình xuống
thunho,Giúp tôi thu nhỏ cửa sổ xuống ngay nhé
thunho,Giúp tôi thu hẹp cửa sổ ngay nhé
thunho,Hãy giúp tôi rút gọn kích thước cửa sổ
thunho,Tôi cần bạn thu nhỏ thêm chút nữa
thunho,Tôi yêu cầu bạn làm nhỏ màn hình lại
thunho,Giúp tôi thu nhỏ cửa sổ xuống ngay nhé
thunho,Giúp tôi làm nhỏ màn hình lại ngay nhé
thunho,Hãy giúp tôi làm khung hình nhỏ hơn
thunho,Giúp tôi thu bé màn hình xuống chút ngay nhé
thunho,Bạn có thể thu hẹp cửa sổ được không
thunho,Tôi yêu cầu bạn thu khung hình xuống
thunho,Hãy giúp tôi làm bé lại nội dung
thunho,Tôi yêu cầu bạn zoom out để màn hình bé lại
thunho,Làm ơn rút gọn kích thước cửa sổ
thunho,Vui lòng co nhỏ nội dung hiển thị
thunho,Vui lòng co lại màn hình
thunho,Làm ơn làm nhỏ màn hình lại
thunho,Tôi cần bạn giảm kích thước hiển thị
thunho,Bạn có thể thu nhỏ thêm chút nữa được không
thunho,Tôi cần bạn thu nhỏ để nhìn tổng thể hơn
thunho,Tôi yêu cầu bạn co lại màn hình
thunho,Làm ơn làm bé lại nội dung
thunho,Làm ơn rút gọn kích thước cửa sổ
vuotlen,Vui lòng vuốt lên để xem phần phía trên
vuotlen,Vui lòng lật trang lên
vuotlen,Vui lòng đẩy nội dung lên
vuotlen,Tôi cần bạn đẩy trang lên
vuotlen,Tôi yêu cầu bạn lướt lên để đọc tiếp
vuotlen,Tôi muốn bạn đẩy nội dung lên
vuotlen,Tôi muốn bạn vuốt lên để xem phần phía trên
vuotlen,Tôi yêu cầu bạn di chuyển trang lên trên
vuotlen,Bạn có thể vuốt lên để xem phần phía trên được không
vuotlen,Tôi muốn bạn đẩy nội dung lên
vuotlen,Tôi cần bạn kéo màn hình lên
vuotlen,Làm ơn trượt lên phía trên
vuotlen,Hãy thực hiện thao tác sau: lướt lên phía trên
vuotlen,Tôi yêu cầu bạn đẩy trang lên
vuotlen,Hãy thực hiện thao tác sau: cuộn tiếp tục lên
vuotlen,Vui lòng lật trang lên
vuotlen,Làm ơn lướt lên phía trên
vuotlen,Tôi cần bạn lướt lên để đọc tiếp
vuotlen,Hãy giúp tôi quẹt lên để chuyển trang
vuotlen,Tôi yêu cầu bạn di chuyển trang lên trên
vuotlen,Tôi cần bạn vuốt lên để xem phần phía trên
vuotlen,Tôi yêu cầu bạn kéo màn hình lên
vuotlen,vuốt mạnh lên
vuotlen,Hãy giúp tôi đẩy trang lên
vuotlen,Hãy thực hiện thao tác sau: di chuyển con trỏ lên
vuotlen,Vui lòng di chuyển con trỏ lên
vuotlen,Vui lòng vuốt lên để xem phần phía trên
vuotlen,Vui lòng di chuyển con trỏ lên
vuotlen,Hãy thực hiện thao tác sau: lướt lên phía trên
vuotlen,Làm ơn kéo màn hình lên
vuotlen,Bạn có thể đẩy trang lên được không
vuotlen,cuộn tiếp tục lên
vuotlen,Bạn có thể di chuyển trang lên trên được không
vuotlen,Tôi yêu cầu bạn lướt lên phía trên
vuotlen,Tôi yêu cầu bạn di chuyển trang lên trên
vuotlen,Tôi cần bạn lướt lên để đọc tiếp
vuotlen,chuyển trang lên trên
vuotlen,Giúp tôi trượt lên phía trên ngay nhé
vuotlen,cuộn tiếp tục lên
vuotlen,Tôi cần bạn cuộn màn hình lên chút
vuotlen,Tôi yêu cầu bạn kéo màn hình lên
vuotlen,Tôi cần bạn kéo nhẹ lên phía trên
vuotlen,Hãy thực hiện thao tác sau: di chuyển trang lên trên
vuotlen,Tôi yêu cầu bạn đẩy nội dung lên
vuotlen,Giúp tôi lướt lên để đọc tiếp ngay nhé
vuotlen,Tôi yêu cầu bạn di chuyển trang lên trên
vuotlen,Hãy thực hiện thao tác sau: kéo nhẹ lên phía trên
vuotlen,Bạn có thể lật trang lên được không
vuotlen,Bạn có thể đẩy nội dung lên được không
vuotlen,Giúp tôi lướt lên để đọc tiếp ngay nhé
vuotlen,Vui lòng lướt lên phía trên
vuotlen,Bạn có thể trượt lên phía trên được không
vuotlen,Hãy thực hiện thao tác sau: vuốt mạnh lên
vuotlen,Tôi cần bạn lướt lên để đọc tiếp
vuotlen,kéo nhẹ lên phía trên
vuotlen,Làm ơn vuốt lên để xem phần phía trên
vuotlen,Hãy thực hiện thao tác sau: trượt lên phía trên
vuotlen,Bạn có thể đưa nội dung lên cao hơn được không
vuotlen,Tôi muốn bạn di chuyển trang lên trên
vuotlen,Làm ơn scroll lên trên
vuotlen,Hãy thực hiện thao tác sau: cuộn lên cho tôi
vuotlen,Tôi cần bạn di chuyển trang lên trên
vuotlen,Bạn có thể kéo nhẹ lên phía trên được không
vuotlen,Giúp tôi scroll thêm lên ngay nhé
vuotlen,Làm ơn quẹt lên để chuyển trang
vuotlen,Tôi yêu cầu bạn lật trang lên
vuotlen,Giúp tôi lật trang lên ngay nhé
vuotlen,Tôi cần bạn vuốt mạnh lên
vuotlen,Tôi muốn bạn quẹt lên để chuyển trang
vuotlen,Vui lòng vuốt mạnh lên
vuotlen,Vui lòng cuộn tiếp tục lên
vuotlen,Bạn có thể lật trang lên được không
vuotlen,Tôi cần bạn cuộn tiếp tục lên
vuotlen,Tôi yêu cầu bạn scroll lên trên
vuotlen,vuốt mạnh lên
vuotlen,Tôi muốn bạn di chuyển trang lên trên
vuotlen,Làm ơn scroll lên trên
vuotlen,trượt lên phía trên
vuotlen,Giúp tôi quẹt lên để chuyển trang ngay nhé
vuotlen,Tôi cần bạn đưa nội dung lên cao hơn
vuotlen,Vui lòng kéo nhẹ lên phía trên
vuotlen,Làm ơn lướt lên để đọc tiếp
vuotlen,Vui lòng scroll lên trên
vuotlen,Bạn có thể cuộn lên cho tôi được không
vuotlen,Tôi yêu cầu bạn đưa nội dung lên cao hơn
vuotlen,Bạn có thể vuốt lên để xem phần phía trên được không
vuotlen,Giúp tôi lướt lên để đọc tiếp ngay nhé
vuotlen,Bạn có thể scroll thêm lên được không
vuotlen,Hãy thực hiện thao tác sau: đưa nội dung lên cao hơn
vuotlen,Tôi yêu cầu bạn kéo nhẹ lên phía trên
vuotlen,Hãy thực hiện thao tác sau: lật trang lên
vuotlen,Tôi yêu cầu bạn cuộn màn hình lên chút
vuotlen,Làm ơn cuộn màn hình lên chút
vuotlen,Hãy giúp tôi quẹt lên để chuyển trang
vuotlen,Tôi cần bạn đẩy nội dung lên
vuotlen,Tôi yêu cầu bạn scroll lên trên
vuotlen,Tôi muốn bạn di chuyển trang lên trên
vuotlen,Hãy thực hiện thao tác sau: trượt lên phía trên
vuotlen,Hãy thực hiện thao tác sau: đẩy nội dung lên
vuotlen,scroll lên trên
vuotphai,Bạn có thể xoay sang phải được không
vuotphai,Hãy giúp tôi kéo nhẹ sang phải
vuotphai,Hãy giúp tôi trượt qua phải
vuotphai,quẹt sang phải
vuotphai,Tôi yêu cầu bạn xoay sang phải
vuotphai,Vui lòng kéo màn hình sang phải
vuotphai,Tôi yêu cầu bạn di chuyển nội dung sang phải
vuotphai,Vui lòng scroll sang phải
vuotphai,chuyển trang qua phải
vuotphai,Tôi cần bạn dịch sang phải chút
vuotphai,Vui lòng cho màn hình đi sang phải
vuotphai,Tôi muốn bạn trượt qua phải
vuotphai,trượt sang phải
vuotphai,Tôi cần bạn di sang phải thêm chút
vuotphai,đẩy toàn bộ sang phải
vuotphai,Tôi muốn bạn đẩy nhẹ qua phải
vuotphai,Tôi muốn bạn dịch sang phải chút
vuotphai,Làm ơn xoay sang phải
vuotphai,Tôi cần bạn cho màn hình đi sang phải
vuotphai,Vui lòng vuốt mạnh sang phải
vuotphai,Tôi muốn bạn đẩy toàn bộ sang phải
vuotphai,Tôi muốn bạn nghiêng trang sang phải
vuotphai,vuốt sang phải để xem thêm
vuotphai,đẩy toàn bộ sang phải
vuotphai,Vui lòng kéo nhẹ sang phải
vuotphai,Tôi yêu cầu bạn dịch sang phải chút
vuotphai,Hãy giúp tôi vuốt sang phải để xem thêm
vuotphai,Hãy thực hiện thao tác sau: cho màn hình đi sang phải
vuotphai,Hãy thực hiện thao tác sau: kéo nhẹ sang phải
vuotphai,Tôi cần bạn scroll sang phải
vuotphai,Vui lòng scroll sang phải
vuotphai,Hãy thực hiện thao tác sau: vuốt mạnh sang phải
vuotphai,Hãy thực hiện thao tác sau: di sang phải thêm chút
vuotphai,Tôi muốn bạn dịch sang phải chút
vuotphai,Vui lòng kéo nhẹ sang phải
vuotphai,Vui lòng scroll sang phải
vuotphai,scroll sang phải
vuotphai,Hãy thực hiện thao tác sau: nghiêng trang sang phải
vuotphai,Tôi cần bạn chuyển trang qua phải
vuotphai,Vui lòng di chuyển nội dung sang phải
vuotphai,Làm ơn trượt sang phải
vuotphai,Vui lòng chuyển trang qua phải
vuotphai,Tôi muốn bạn đẩy toàn bộ sang phải
vuotphai,Hãy giúp tôi trượt sang phải
vuotphai,Hãy giúp tôi trượt qua phải
vuotphai,Bạn có thể quẹt sang phải được không
vuotphai,Vui lòng scroll sang phải
vuotphai,Tôi muốn bạn quẹt qua bên phải
vuotphai,Hãy thực hiện thao tác sau: di sang phải thêm chút
vuotphai,kéo màn hình sang phải
vuotphai,Tôi yêu cầu bạn xoay sang phải
vuotphai,Bạn có thể quẹt qua bên phải được không
vuotphai,Bạn có thể dịch sang phải chút được không
vuotphai,Hãy giúp tôi di chuyển nội dung sang phải
vuotphai,Bạn có thể kéo màn hình sang phải được không
vuotphai,Vui lòng lướt sang phải
vuotphai,Tôi yêu cầu bạn quẹt qua bên phải
vuotphai,Giúp tôi quẹt qua bên phải ngay nhé
vuotphai,Làm ơn scroll sang phải
vuotphai,Tôi yêu cầu bạn trượt qua phải
vuotphai,Tôi yêu cầu bạn chuyển trang qua phải
vuotphai,Vui lòng đẩy toàn bộ sang phải
vuotphai,Tôi cần bạn đưa màn hình sang bên phải
vuotphai,Hãy thực hiện thao tác sau: di chuyển nội dung sang phải
vuotphai,kéo nhẹ sang phải
vuotphai,Làm ơn đưa màn hình sang bên phải
vuotphai,Hãy thực hiện thao tác sau: kéo nhẹ sang phải
vuotphai,Tôi muốn bạn trượt qua phải
vuotphai,Vui lòng đưa màn hình sang bên phải
vuotphai,Giúp tôi lướt sang phải ngay nhé
vuotphai,Tôi yêu cầu bạn dịch sang phải chút
vuotphai,Tôi cần bạn cho màn hình đi sang phải
vuotphai,Hãy thực hiện thao tác sau: xoay sang phải
vuotphai,Tôi yêu cầu bạn quẹt sang phải
vuotphai,nghiêng trang sang phải
vuotphai,Tôi cần bạn chuyển trang qua phải
vuotphai,Tôi yêu cầu bạn di chuyển nội dung sang phải
vuotphai,Hãy thực hiện thao tác sau: quẹt sang phải
vuotphai,Hãy giúp tôi lướt sang phải
vuotphai,Tôi cần bạn chuyển trang qua phải
vuotphai,Vui lòng di chuyển nội dung sang phải
vuotphai,Làm ơn dịch sang phải chút
vuotphai,Tôi yêu cầu bạn quẹt qua bên phải
vuotphai,Tôi yêu cầu bạn lướt sang phải
vuotphai,Tôi yêu cầu bạn xoay sang phải
vuotphai,Vui lòng chuyển trang qua phải
vuotphai,trượt qua phải
vuotphai,Giúp tôi scroll sang phải ngay nhé
vuotphai,Làm ơn vuốt mạnh sang phải
vuotphai,Bạn có thể quẹt sang phải được không
vuotphai,Làm ơn kéo màn hình sang phải
vuotphai,Hãy thực hiện thao tác sau: vuốt sang phải để xem thêm
vuotphai,Làm ơn xoay sang phải
vuotphai,Làm ơn trượt sang phải
vuotphai,Bạn có thể chuyển trang qua phải được không
vuotphai,Tôi muốn bạn dịch sang phải chút
vuotphai,quẹt sang phải
vuotphai,Làm ơn kéo màn hình sang phải
vuotphai,Tôi muốn bạn đẩy nhẹ qua phải
vuotphai,Làm ơn dịch sang phải chút
vuottrai,Vui lòng đưa toàn bộ nội dung sang trái
vuottrai,Hãy thực hiện thao tác sau: lướt sang trái
vuottrai,Tôi yêu cầu bạn kéo nhẹ sang trái
vuottrai,Tôi muốn bạn đẩy nhẹ qua trái
vuottrai,Tôi muốn bạn di sang trái một đoạn
vuottrai,Vui lòng kéo nhẹ sang trái
vuottrai,Làm ơn đưa toàn bộ nội dung sang trái
vuottrai,Làm ơn đẩy màn hình sang trái
vuottrai,Tôi yêu cầu bạn chuyển trang qua trái
vuottrai,Tôi cần bạn trượt qua trái
vuottrai,Vui lòng quẹt sang trái
vuottrai,Làm ơn đưa toàn bộ nội dung sang trái
vuottrai,Tôi cần bạn trượt qua trái
vuottrai,Vui lòng di sang trái một đoạn
vuottrai,Hãy thực hiện thao tác sau: đẩy màn hình sang trái
vuottrai,Bạn có thể vuốt mạnh sang trái được không
vuottrai,Vui lòng đưa toàn bộ nội dung sang trái
vuottrai,Giúp tôi quẹt sang trái ngay nhé
vuottrai,Làm ơn trượt sang trái
vuottrai,Hãy giúp tôi quẹt sang trái
vuottrai,Bạn có thể di chuyển con trỏ sang trái được không
vuottrai,Tôi muốn bạn lướt sang trái
vuottrai,Tôi yêu cầu bạn xoay sang trái
vuottrai,Bạn có thể di sang trái một đoạn được không
vuottrai,Vui lòng đẩy màn hình sang trái
vuottrai,Tôi muốn bạn vuốt mạnh sang trái
vuottrai,Làm ơn quẹt sang trái
vuottrai,Hãy giúp tôi di chuyển nội dung sang trái
vuottrai,Hãy thực hiện thao tác sau: nghiêng màn hình sang trái
vuottrai,Vui lòng đẩy màn hình sang trái
vuottrai,Bạn có thể đẩy màn hình sang trái được không
vuottrai,Tôi muốn bạn di chuyển nội dung sang trái
vuottrai,di sang trái một đoạn
vuottrai,Vui lòng đẩy nhẹ qua trái
vuottrai,Bạn có thể quẹt sang trái được không
vuottrai,Làm ơn vuốt mạnh sang trái
vuottrai,Làm ơn trượt sang trái
vuottrai,Tôi muốn bạn đẩy nhẹ qua trái
vuottrai,Tôi yêu cầu bạn di chuyển con trỏ sang trái
vuottrai,Vui lòng đưa toàn bộ nội dung sang trái
vuottrai,Tôi yêu cầu bạn trượt qua trái
vuottrai,Tôi yêu cầu bạn di sang trái một đoạn
vuottrai,chuyển trang qua trái
vuottrai,trượt sang trái
vuottrai,Tôi muốn bạn kéo trang sang trái
vuottrai,Giúp tôi kéo trang sang trái ngay nhé
vuottrai,Tôi muốn bạn kéo nhẹ sang trái
vuottrai,Làm ơn lật trang sang trái
vuottrai,Hãy giúp tôi nghiêng màn hình sang trái
vuottrai,Giúp tôi trượt sang trái ngay nhé
vuottrai,Làm ơn vuốt mạnh sang trái
vuottrai,Giúp tôi di chuyển nội dung sang trái ngay nhé
vuottrai,Tôi muốn bạn chuyển trang qua trái
vuottrai,Hãy thực hiện thao tác sau: trượt sang trái
vuottrai,Hãy thực hiện thao tác sau: lướt sang trái
vuottrai,Tôi muốn bạn đẩy nhẹ qua trái
vuottrai,lật trang sang trái
vuottrai,Tôi cần bạn vuốt sang trái để xem phần trước đó
vuottrai,Vui lòng vuốt mạnh sang trái
vuottrai,Tôi muốn bạn xoay sang trái
vuottrai,Hãy thực hiện thao tác sau: scroll sang trái
vuottrai,Giúp tôi lướt sang trái ngay nhé
vuottrai,Làm ơn scroll sang trái
vuottrai,Giúp tôi di chuyển nội dung sang trái ngay nhé
vuottrai,Vui lòng kéo sang trái
vuottrai,Tôi muốn bạn nghiêng màn hình sang trái
vuottrai,di chuyển con trỏ sang trái
vuottrai,Hãy giúp tôi đẩy nhẹ qua trái
vuottrai,Làm ơn di chuyển nội dung sang trái
vuottrai,Làm ơn scroll sang trái
vuottrai,Hãy giúp tôi di chuyển con trỏ sang trái
vuottrai,Hãy giúp tôi trượt qua trái
vuottrai,Hãy giúp tôi di sang trái một đoạn
vuottrai,Bạn có thể di sang trái một đoạn được không
vuottrai,Hãy thực hiện thao tác sau: chuyển trang qua trái
vuottrai,Làm ơn di chuyển nội dung sang trái
vuottrai,Vui lòng vuốt mạnh sang trái
vuottrai,Hãy giúp tôi nghiêng màn hình sang trái
vuottrai,Tôi cần bạn đẩy màn hình sang trái
vuottrai,Bạn có thể lật trang sang trái được không
vuottrai,Vui lòng đẩy màn hình sang trái
vuottrai,Vui lòng kéo nhẹ sang trái
vuottrai,Tôi cần bạn trượt sang trái
vuottrai,Tôi yêu cầu bạn vuốt mạnh sang trái
vuottrai,Làm ơn di sang trái một đoạn
vuottrai,Hãy giúp tôi trượt qua trái
vuottrai,Hãy thực hiện thao tác sau: di chuyển nội dung sang trái
vuottrai,Làm ơn nghiêng màn hình sang trái
vuottrai,Bạn có thể kéo trang sang trái được không
vuottrai,Tôi cần bạn kéo sang trái
vuottrai,Làm ơn scroll sang trái
vuottrai,Tôi yêu cầu bạn di sang trái một đoạn
vuottrai,Hãy giúp tôi scroll sang trái
vuottrai,Hãy thực hiện thao tác sau: kéo trang sang trái
vuottrai,Bạn có thể kéo nhẹ sang trái được không
vuottrai,kéo trang sang trái
vuottrai,Bạn có thể chuyển trang qua trái được không
vuottrai,Tôi muốn bạn vuốt mạnh sang trái
vuottrai,Tôi yêu cầu bạn vuốt sang trái để xem phần trước đó
vuottrai,Tôi cần bạn kéo sang trái
vuotxuong,Hãy thực hiện thao tác sau: vuốt mạnh xuống
vuotxuong,Giúp tôi cuộn trang xuống dưới ngay nhé
vuotxuong,Giúp tôi di chuyển nội dung xuống ngay nhé
vuotxuong,dời xuống
vuotxuong,Tôi yêu cầu bạn cuộn liên tục xuống
vuotxuong,Giúp tôi scroll thêm xuống ngay nhé
vuotxuong,Tôi cần bạn kéo trang xuống dưới
vuotxuong,Vui lòng di chuyển nội dung xuống
vuotxuong,Làm ơn lướt xuống dưới
vuotxuong,Bạn có thể đưa nội dung xuống thấp hơn được không
vuotxuong,Hãy thực hiện thao tác sau: đưa nội dung xuống thấp hơn
vuotxuong,Tôi cần bạn đưa nội dung xuống thấp hơn
vuotxuong,Hãy giúp tôi dời xuống
vuotxuong,Tôi yêu cầu bạn kéo màn hình xuống
vuotxuong,Tôi muốn bạn dời xuống
vuotxuong,Giúp tôi chuyển trang xuống dưới ngay nhé
vuotxuong,Hãy giúp tôi kéo nhẹ xuống
vuotxuong,kéo trang xuống dưới
vuotxuong,Vui lòng di chuyển nội dung xuống
vuotxuong,Hãy giúp tôi cuộn liên tục xuống
vuotxuong,Tôi yêu cầu bạn lật trang xuống
vuotxuong,Tôi cần bạn kéo xuống thật nhẹ
vuotxuong,Giúp tôi đưa nội dung xuống thấp hơn ngay nhé
vuotxuong,Tôi muốn bạn kéo màn hình xuống
vuotxuong,Hãy thực hiện thao tác sau: kéo nhẹ xuống
vuotxuong,Tôi yêu cầu bạn scroll xuống để xem tiếp
vuotxuong,Vui lòng cho màn hình hạ xuống
vuotxuong,Tôi muốn bạn kéo trang xuống dưới
vuotxuong,Bạn có thể vuốt mạnh xuống được không
vuotxuong,Tôi yêu cầu bạn quẹt xuống dưới
vuotxuong,Vui lòng cuộn liên tục xuống
vuotxuong,Hãy thực hiện thao tác sau: trượt xuống
vuotxuong,Hãy giúp tôi kéo nhẹ xuống
vuotxuong,Giúp tôi kéo xuống thật nhẹ ngay nhé
vuotxuong,Hãy thực hiện thao tác sau: scroll thêm xuống
vuotxuong,Bạn có thể cuộn trang xuống dưới được không
vuotxuong,Vui lòng đưa nội dung xuống thấp hơn
vuotxuong,Hãy giúp tôi kéo xuống thật nhẹ
vuotxuong,Giúp tôi vuốt xuống để xem thêm ngay nhé
vuotxuong,Vui lòng chuyển trang xuống dưới
vuotxuong,scroll xuống để xem tiếp
vuotxuong,Tôi yêu cầu bạn lật trang xuống
vuotxuong,Bạn có thể dời xuống được không
vuotxuong,Làm ơn scroll xuống để xem tiếp
vuotxuong,Giúp tôi vuốt mạnh xuống ngay nhé
vuotxuong,Giúp tôi quẹt xuống dưới ngay nhé
vuotxuong,Bạn có thể scroll xuống để xem tiếp được không
vuotxuong,Hãy giúp tôi kéo trang xuống dưới
vuotxuong,Vui lòng kéo nhẹ xuống
vuotxuong,đẩy màn hình xuống một chút
vuotxuong,Tôi cần bạn scroll thêm xuống
vuotxuong,Làm ơn kéo xuống thật nhẹ
vuotxuong,Giúp tôi đẩy màn hình xuống một chút ngay nhé
vuotxuong,Tôi muốn bạn lật trang xuống
vuotxuong,Tôi yêu cầu bạn đưa nội dung xuống thấp hơn
vuotxuong,Tôi muốn bạn di chuyển nội dung xuống
vuotxuong,Vui lòng đẩy màn hình xuống một chút
vuotxuong,Bạn có thể cuộn liên tục xuống được không
vuotxuong,Vui lòng cho màn hình hạ xuống
vuotxuong,kéo nhẹ xuống
vuotxuong,Hãy thực hiện thao tác sau: trượt xuống
vuotxuong,Vui lòng cuộn trang xuống dưới
vuotxuong,Tôi muốn bạn trượt xuống
vuotxuong,Làm ơn cho màn hình hạ xuống
vuotxuong,Giúp tôi vuốt xuống để xem thêm ngay nhé
vuotxuong,Tôi yêu cầu bạn lật trang xuống
vuotxuong,Giúp tôi chuyển trang xuống dưới ngay nhé
vuotxuong,Hãy thực hiện thao tác sau: cuộn liên tục xuống
vuotxuong,Làm ơn dời xuống
vuotxuong,Tôi yêu cầu bạn kéo trang xuống dưới
vuotxuong,Tôi muốn bạn vuốt xuống để xem thêm
vuotxuong,Làm ơn đẩy màn hình xuống một chút
vuotxuong,Giúp tôi vuốt mạnh xuống ngay nhé
vuotxuong,Hãy giúp tôi cho màn hình hạ xuống
vuotxuong,Tôi cần bạn cuộn liên tục xuống
vuotxuong,Tôi cần bạn kéo trang xuống dưới
vuotxuong,Tôi yêu cầu bạn kéo xuống thật nhẹ
vuotxuong,Giúp tôi kéo trang xuống dưới ngay nhé
vuotxuong,Tôi muốn bạn đưa nội dung xuống thấp hơn
vuotxuong,Tôi cần bạn vuốt xuống để xem thêm
vuotxuong,Tôi yêu cầu bạn quẹt xuống dưới
vuotxuong,Bạn có thể kéo màn hình xuống được không
vuotxuong,Vui lòng scroll thêm xuống
vuotxuong,Hãy giúp tôi kéo nhẹ xuống
vuotxuong,Vui lòng scroll xuống để xem tiếp
vuotxuong,Vui lòng quẹt xuống dưới
vuotxuong,Bạn có thể lướt xuống dưới được không
vuotxuong,Tôi muốn bạn cho màn hình hạ xuống
vuotxuong,Tôi cần bạn cho màn hình hạ xuống
vuotxuong,Giúp tôi kéo xuống thật nhẹ ngay nhé
vuotxuong,Tôi muốn bạn scroll thêm xuống
vuotxuong,Giúp tôi quẹt xuống dưới ngay nhé
vuotxuong,Giúp tôi di chuyển nội dung xuống ngay nhé
vuotxuong,Vui lòng kéo xuống thật nhẹ
